=== Runtime summary ===
Placement-Bruteforce 2m 32.22s
Deployer             4m 37.32s
Applier              57578.54 ms
Total Iteration      8m 07.88s
Placement-Bruteforce 2m 57.46s
Deployer             4m 25.13s
Applier              57087.38 ms
Total Iteration      8m 20.55s
Placement-Bruteforce 2m 54.47s
Deployer             4m 23.63s
Applier              57638.60 ms
Total Iteration      8m 16.60s
Placement-Bruteforce 1m 52.40s
Deployer             5m 22.04s
Applier              1m 06.55s
Total Iteration      8m 21.86s
Placement-Bruteforce 1m 31.83s
Deployer             4m 54.94s
Applier              1m 06.37s
Total Iteration      7m 34.04s
Placement-Greedy     7.49 ms
Deployer             4m 39.60s
Applier              57439.39 ms
Total Iteration      5m 38.20s
Placement-Greedy     5.55 ms
Deployer             4m 24.43s
Applier              57317.74 ms
Total Iteration      5m 22.95s
Placement-Greedy     5.18 ms
Deployer             5m 14.48s
Applier              1m 06.65s
Total Iteration      6m 22.31s
Placement-Greedy     5.60 ms
Deployer             4m 56.15s
Applier              1m 06.65s
Total Iteration      6m 03.97s
Placement-Greedy     5.80 ms
Deployer             5m 26.15s
Applier              1m 06.86s
Total Iteration      6m 34.19s
Placement-Random     53.31 ms
Deployer             4m 37.61s
Applier              57427.39 ms
Total Iteration      5m 36.23s
Placement-Random     54.69 ms
Deployer             6m 04.67s
Applier              1m 16.21s
Total Iteration      7m 22.21s
Placement-Random     54.97 ms
Deployer             6m 38.29s
Applier              1m 34.78s
Total Iteration      8m 14.29s
Placement-Random     54.44 ms
Deployer             5m 27.91s
Applier              1m 15.88s
Total Iteration      6m 45.00s
Placement-Random     54.52 ms
Deployer             5m 27.42s
Applier              1m 15.26s
Total Iteration      6m 43.91s
