=== Runtime summary ===
Placement-Bruteforce 2m 35.38s
Deployer             5m 28.41s
Applier              1m 06.53s
Total Iteration      9m 11.09s
Placement-Bruteforce 3m 04.61s
Deployer             5m 13.19s
Applier              1m 06.31s
Total Iteration      9m 25.01s
Placement-Bruteforce 3m 04.22s
Deployer             4m 55.63s
Applier              1m 06.39s
Total Iteration      9m 07.13s
Placement-Bruteforce 2m 38.34s
Deployer             4m 54.43s
Applier              1m 06.25s
Total Iteration      8m 39.90s
Placement-Bruteforce 2m 21.34s
Deployer             5m 42.97s
Applier              1m 06.84s
Total Iteration      9m 12.03s
Placement-Greedy     9.05 ms
Deployer             5m 51.93s
Applier              1m 15.64s
Total Iteration      7m 08.79s
Placement-Greedy     5.60 ms
Deployer             6m 18.31s
Applier              1m 25.21s
Total Iteration      7m 44.68s
Placement-Greedy     5.79 ms
Deployer             5m 29.20s
Applier              1m 15.98s
Total Iteration      6m 46.35s
Placement-Greedy     2.93 ms
Deployer             5m 47.63s
Applier              1m 15.75s
Total Iteration      7m 04.50s
Placement-Greedy     5.51 ms
Deployer             4m 56.88s
Applier              1m 07.01s
Total Iteration      6m 05.05s
Placement-Random     53.88 ms
Deployer             5m 19.32s
Applier              1m 17.27s
Total Iteration      6m 37.81s
Placement-Random     53.99 ms
Deployer             5m 46.69s
Applier              1m 15.81s
Total Iteration      7m 03.71s
Placement-Random     54.37 ms
Deployer             5m 45.74s
Applier              1m 15.91s
Total Iteration      7m 02.87s
Placement-Random     53.35 ms
Deployer             5m 15.18s
Applier              1m 06.64s
Total Iteration      6m 23.12s
Placement-Random     53.57 ms
Deployer             6m 05.99s
Applier              1m 19.26s
Total Iteration      7m 26.46s
