=== Runtime summary ===
Placement-Bruteforce 3m 17.14s
Deployer             4m 38.02s
Applier              57452.35 ms
Total Iteration      8m 53.40s
Placement-Bruteforce 3m 50.52s
Deployer             4m 24.28s
Applier              57285.27 ms
Total Iteration      9m 12.96s
Placement-Bruteforce 3m 49.26s
Deployer             4m 23.66s
Applier              57135.98 ms
Total Iteration      9m 10.93s
Placement-Bruteforce 3m 21.52s
Deployer             4m 24.56s
Applier              57364.68 ms
Total Iteration      8m 44.32s
Placement-Bruteforce 2m 42.84s
Deployer             5m 13.92s
Applier              1m 06.74s
Total Iteration      9m 04.39s
Placement-Greedy     8.40 ms
Deployer             5m 10.68s
Applier              57084.03 ms
Total Iteration      6m 08.95s
Placement-Greedy     7.01 ms
Deployer             5m 43.26s
Applier              1m 06.95s
Total Iteration      6m 51.39s
Placement-Greedy     5.80 ms
Deployer             5m 24.50s
Applier              1m 06.14s
Total Iteration      6m 31.85s
Placement-Greedy     6.21 ms
Deployer             4m 54.07s
Applier              1m 06.81s
Total Iteration      6m 02.10s
Placement-Greedy     5.76 ms
Deployer             5m 44.95s
Applier              1m 15.79s
Total Iteration      7m 01.92s
Placement-Random     53.79 ms
Deployer             6m 40.18s
Applier              1m 25.49s
Total Iteration      8m 06.90s
Placement-Random     53.71 ms
Deployer             4m 57.58s
Applier              1m 07.10s
Total Iteration      6m 05.98s
Placement-Random     53.81 ms
Deployer             4m 55.62s
Applier              1m 06.62s
Total Iteration      6m 03.46s
Placement-Random     54.85 ms
Deployer             7m 16.61s
Applier              1m 44.88s
Total Iteration      9m 02.70s
Placement-Random     53.37 ms
Deployer             5m 30.01s
Applier              1m 15.62s
Total Iteration      6m 46.87s
