=== Runtime summary ===
Placement-Bruteforce 19m 57.58s
Deployer             4m 25.42s
Applier              52933.93 ms
Total Iteration      25m 16.74s
Placement-Bruteforce 15m 00.91s
Deployer             5m 08.44s
Applier              1m 01.19s
Total Iteration      21m 11.34s
Placement-Bruteforce 11m 39.25s
Deployer             4m 51.98s
Applier              1m 01.39s
Total Iteration      17m 33.41s
Placement-Bruteforce 11m 35.92s
Deployer             4m 54.20s
Applier              1m 01.45s
Total Iteration      17m 32.38s
Placement-Bruteforce 11m 31.22s
Deployer             4m 52.95s
Applier              1m 01.03s
Total Iteration      17m 25.99s
Placement-Greedy     76.59 ms
Deployer             4m 58.70s
Applier              52924.69 ms
Total Iteration      5m 52.53s
Placement-Greedy     75.75 ms
Deployer             4m 20.81s
Applier              52913.92 ms
Total Iteration      5m 14.66s
Placement-Greedy     79.27 ms
Deployer             5m 08.49s
Applier              1m 01.50s
Total Iteration      6m 10.91s
Placement-Greedy     82.23 ms
Deployer             5m 42.01s
Applier              1m 10.07s
Total Iteration      6m 53.00s
Placement-Greedy     80.62 ms
Deployer             6m 41.63s
Applier              1m 18.92s
Total Iteration      8m 01.46s
Placement-Random     53.24 ms
Deployer             4m 42.47s
Applier              1m 02.72s
Total Iteration      5m 46.11s
Placement-Random     53.27 ms
Deployer             4m 52.10s
Applier              1m 01.28s
Total Iteration      5m 54.33s
Placement-Random     53.48 ms
Deployer             4m 52.51s
Applier              1m 01.76s
Total Iteration      5m 55.26s
Placement-Random     53.35 ms
Deployer             5m 21.70s
Applier              1m 01.54s
Total Iteration      6m 24.18s
Placement-Random     53.38 ms
Deployer             5m 22.32s
Applier              1m 01.62s
Total Iteration      6m 24.88s
