=== Runtime summary ===
Placement-Bruteforce 3m 37.35s
Deployer             4m 57.99s
Applier              1m 06.96s
Total Iteration      9m 43.08s
Placement-Bruteforce 4m 20.47s
Deployer             4m 55.70s
Applier              1m 06.70s
Total Iteration      10m 24.02s
Placement-Bruteforce 2m 41.87s
Deployer             5m 13.55s
Applier              1m 06.95s
Total Iteration      9m 03.28s
Placement-Bruteforce 2m 02.74s
Deployer             5m 13.52s
Applier              1m 06.78s
Total Iteration      8m 23.95s
Placement-Bruteforce 2m 02.98s
Deployer             4m 56.14s
Applier              1m 06.49s
Total Iteration      8m 06.51s
Placement-Greedy     9.17 ms
Deployer             4m 57.78s
Applier              1m 07.05s
Total Iteration      6m 06.07s
Placement-Greedy     6.65 ms
Deployer             6m 16.57s
Applier              1m 16.13s
Total Iteration      7m 33.91s
Placement-Greedy     7.33 ms
Deployer             5m 45.39s
Applier              1m 16.15s
Total Iteration      7m 02.75s
Placement-Greedy     7.15 ms
Deployer             5m 59.72s
Applier              1m 15.94s
Total Iteration      7m 16.87s
Placement-Greedy     6.83 ms
Deployer             4m 57.05s
Applier              1m 06.91s
Total Iteration      6m 05.17s
Placement-Random     54.84 ms
Deployer             5m 17.15s
Applier              1m 17.03s
Total Iteration      6m 35.44s
Placement-Random     55.05 ms
Deployer             6m 36.50s
Applier              1m 26.32s
Total Iteration      8m 04.18s
Placement-Random     55.12 ms
Deployer             6m 27.40s
Applier              1m 34.96s
Total Iteration      8m 03.61s
Placement-Random     54.95 ms
Deployer             6m 08.31s
Applier              1m 25.26s
Total Iteration      7m 34.84s
Placement-Random     54.56 ms
Deployer             5m 30.02s
Applier              1m 16.17s
Total Iteration      6m 47.45s
