=== Runtime summary ===
Placement-Bruteforce 2m 08.46s
Deployer             4m 45.93s
Applier              1m 01.45s
Total Iteration      7m 56.59s
Placement-Bruteforce 1m 48.01s
Deployer             4m 53.43s
Applier              1m 01.49s
Total Iteration      7m 43.70s
Placement-Bruteforce 1m 39.67s
Deployer             5m 41.77s
Applier              1m 10.21s
Total Iteration      8m 32.40s
Placement-Bruteforce 1m 23.57s
Deployer             5m 25.95s
Applier              1m 09.74s
Total Iteration      8m 00.03s
Placement-Bruteforce 1m 04.55s
Deployer             4m 53.21s
Applier              1m 01.68s
Total Iteration      7m 00.22s
Placement-Greedy     78.95 ms
Deployer             5m 15.19s
Applier              1m 01.31s
Total Iteration      6m 17.38s
Placement-Greedy     74.04 ms
Deployer             4m 20.12s
Applier              52739.82 ms
Total Iteration      5m 13.76s
Placement-Greedy     78.46 ms
Deployer             5m 07.84s
Applier              1m 01.21s
Total Iteration      6m 09.93s
Placement-Greedy     76.71 ms
Deployer             5m 07.09s
Applier              1m 01.41s
Total Iteration      6m 09.39s
Placement-Greedy     72.62 ms
Deployer             4m 52.53s
Applier              1m 01.40s
Total Iteration      5m 54.83s
Placement-Random     54.18 ms
Deployer             5m 21.93s
Applier              1m 19.05s
Total Iteration      6m 41.88s
Placement-Random     54.55 ms
Deployer             6m 07.26s
Applier              1m 19.20s
Total Iteration      7m 27.41s
Placement-Random     54.26 ms
Deployer             5m 58.86s
Applier              1m 18.33s
Total Iteration      7m 18.11s
Placement-Random     54.38 ms
Deployer             5m 56.90s
Applier              1m 18.32s
Total Iteration      7m 16.14s
Placement-Random     56.12 ms
Deployer             7m 05.57s
Applier              1m 35.67s
Total Iteration      8m 42.15s
