=== Runtime summary ===
Placement-Bruteforce 30412.50 ms
Deployer             5m 07.04s
Applier              57484.21 ms
Total Iteration      6m 35.70s
Placement-Bruteforce 37891.49 ms
Deployer             4m 24.80s
Applier              57673.81 ms
Total Iteration      6m 01.24s
Placement-Bruteforce 35218.07 ms
Deployer             4m 24.01s
Applier              57782.63 ms
Total Iteration      5m 57.89s
Placement-Bruteforce 35481.01 ms
Deployer             4m 24.62s
Applier              57644.21 ms
Total Iteration      5m 58.62s
Placement-Bruteforce 32364.02 ms
Deployer             4m 24.45s
Applier              57230.20 ms
Total Iteration      5m 54.90s
Placement-Greedy     8.14 ms
Deployer             4m 39.53s
Applier              57299.08 ms
Total Iteration      5m 38.00s
Placement-Greedy     2.78 ms
Deployer             4m 24.51s
Applier              57872.26 ms
Total Iteration      5m 23.54s
Placement-Greedy     5.90 ms
Deployer             5m 13.58s
Applier              1m 06.57s
Total Iteration      6m 21.30s
Placement-Greedy     2.89 ms
Deployer             5m 26.11s
Applier              1m 06.73s
Total Iteration      6m 33.94s
Placement-Greedy     5.94 ms
Deployer             5m 47.16s
Applier              1m 15.73s
Total Iteration      7m 04.03s
Placement-Random     55.17 ms
Deployer             6m 39.03s
Applier              1m 25.74s
Total Iteration      8m 05.96s
Placement-Random     54.76 ms
Deployer             6m 51.35s
Applier              1m 34.93s
Total Iteration      8m 27.47s
Placement-Random     55.23 ms
Deployer             6m 32.80s
Applier              1m 34.98s
Total Iteration      8m 09.06s
Placement-Random     54.13 ms
Deployer             4m 56.05s
Applier              1m 07.49s
Total Iteration      6m 04.73s
Placement-Random     53.52 ms
Deployer             4m 25.08s
Applier              57904.33 ms
Total Iteration      5m 24.17s
