=== Runtime summary ===
Placement-Bruteforce 4m 53.21s
Deployer             4m 49.57s
Applier              1m 01.42s
Total Iteration      10m 44.98s
Placement-Bruteforce 4m 35.30s
Deployer             4m 52.04s
Applier              1m 01.37s
Total Iteration      10m 29.51s
Placement-Bruteforce 4m 37.52s
Deployer             5m 21.99s
Applier              1m 01.37s
Total Iteration      11m 01.68s
Placement-Bruteforce 4m 15.11s
Deployer             4m 52.83s
Applier              1m 01.64s
Total Iteration      10m 10.39s
Placement-Bruteforce 4m 09.55s
Deployer             4m 53.11s
Applier              1m 01.63s
Total Iteration      10m 05.09s
Placement-Greedy     107.10 ms
Deployer             5m 18.52s
Applier              1m 01.15s
Total Iteration      6m 20.61s
Placement-Greedy     63.36 ms
Deployer             5m 08.97s
Applier              1m 01.28s
Total Iteration      6m 11.11s
Placement-Greedy     104.43 ms
Deployer             4m 51.80s
Applier              1m 01.46s
Total Iteration      5m 54.20s
Placement-Greedy     103.58 ms
Deployer             4m 51.96s
Applier              1m 01.24s
Total Iteration      5m 54.12s
Placement-Greedy     103.48 ms
Deployer             4m 52.80s
Applier              1m 01.19s
Total Iteration      5m 54.92s
Placement-Random     53.22 ms
Deployer             5m 18.42s
Applier              1m 19.86s
Total Iteration      6m 39.20s
Placement-Random     54.11 ms
Deployer             5m 58.23s
Applier              1m 18.33s
Total Iteration      7m 17.49s
Placement-Random     53.98 ms
Deployer             5m 57.75s
Applier              1m 18.81s
Total Iteration      7m 17.54s
Placement-Random     54.39 ms
Deployer             6m 29.17s
Applier              1m 19.28s
Total Iteration      7m 49.38s
Placement-Random     54.69 ms
Deployer             5m 24.78s
Applier              1m 09.94s
Total Iteration      6m 35.66s
