=== Runtime summary ===
Placement-Bruteforce 21751.70 ms
Deployer             4m 45.92s
Applier              1m 01.61s
Total Iteration      6m 10.01s
Placement-Bruteforce 20094.33 ms
Deployer             6m 09.54s
Applier              1m 10.08s
Total Iteration      7m 40.47s
Placement-Bruteforce 17304.51 ms
Deployer             5m 39.68s
Applier              1m 10.03s
Total Iteration      7m 07.75s
Placement-Bruteforce 16506.96 ms
Deployer             5m 24.65s
Applier              1m 09.97s
Total Iteration      6m 51.88s
Placement-Bruteforce 15908.47 ms
Deployer             5m 57.77s
Applier              1m 18.40s
Total Iteration      7m 32.82s
Placement-Greedy     32m 55.93s
Deployer             5m 14.09s
Applier              1m 00.87s
Total Iteration      39m 11.63s
Placement-Greedy     13m 32.93s
Deployer             5m 48.93s
Applier              1m 10.24s
Total Iteration      20m 32.86s
Placement-Greedy     13m 32.90s
Deployer             5m 40.86s
Applier              1m 10.06s
Total Iteration      20m 24.57s
Placement-Greedy     13m 32.55s
Deployer             5m 24.41s
Applier              1m 10.32s
Total Iteration      20m 08.05s
Placement-Greedy     13m 44.02s
Deployer             5m 23.40s
Applier              1m 09.97s
Total Iteration      20m 18.13s
Placement-Random     54.72 ms
Deployer             4m 27.21s
Applier              52994.36 ms
Total Iteration      5m 21.09s
Placement-Random     55.11 ms
Deployer             4m 22.35s
Applier              53210.45 ms
Total Iteration      5m 16.46s
Placement-Random     54.52 ms
Deployer             5m 07.97s
Applier              1m 01.67s
Total Iteration      6m 10.54s
Placement-Random     55.67 ms
Deployer             5m 43.46s
Applier              1m 15.67s
Total Iteration      7m 00.03s
Placement-Random     55.25 ms
Deployer             5m 59.05s
Applier              1m 18.65s
Total Iteration      7m 18.59s
