=== Runtime summary ===
Placement-Bruteforce 19968.38 ms
Deployer             5m 07.61s
Applier              57566.91 ms
Total Iteration      6m 25.87s
Placement-Bruteforce 19825.75 ms
Deployer             3m 50.76s
Applier              48346.14 ms
Total Iteration      4m 59.76s
Placement-Bruteforce 19559.05 ms
Deployer             5m 31.46s
Applier              1m 06.87s
Total Iteration      6m 58.72s
Placement-Bruteforce 15937.42 ms
Deployer             4m 59.76s
Applier              1m 03.15s
Total Iteration      6m 19.70s
Placement-Bruteforce 15942.82 ms
Deployer             4m 52.89s
Applier              1m 01.87s
Total Iteration      6m 11.53s
Placement-Greedy     7.67 ms
Deployer             4m 37.64s
Applier              57215.56 ms
Total Iteration      5m 35.99s
Placement-Greedy     5.43 ms
Deployer             4m 55.24s
Applier              57665.74 ms
Total Iteration      5m 54.02s
Placement-Greedy     5.31 ms
Deployer             3m 51.44s
Applier              48681.00 ms
Total Iteration      4m 41.26s
Placement-Greedy     6.21 ms
Deployer             5m 21.83s
Applier              1m 16.69s
Total Iteration      6m 39.64s
Placement-Greedy     6.40 ms
Deployer             5m 34.85s
Applier              1m 15.67s
Total Iteration      6m 51.65s
Placement-Random     54.09 ms
Deployer             5m 47.44s
Applier              1m 16.54s
Total Iteration      7m 05.14s
Placement-Random     54.08 ms
Deployer             5m 14.94s
Applier              1m 06.83s
Total Iteration      6m 22.94s
Placement-Random     56.14 ms
Deployer             4m 56.28s
Applier              1m 03.07s
Total Iteration      6m 00.67s
Placement-Random     55.53 ms
Deployer             5m 45.09s
Applier              1m 08.01s
Total Iteration      6m 54.26s
Placement-Random     52.32 ms
Deployer             5m 24.08s
Applier              1m 06.78s
Total Iteration      6m 31.97s
