=== Runtime summary ===
Placement-Bruteforce 1m 55.97s
Deployer             4m 58.68s
Applier              53120.03 ms
Total Iteration      7m 48.53s
Placement-Bruteforce 1m 57.31s
Deployer             4m 20.70s
Applier              52960.68 ms
Total Iteration      7m 11.73s
Placement-Bruteforce 1m 31.51s
Deployer             4m 20.84s
Applier              53156.87 ms
Total Iteration      6m 46.26s
Placement-Bruteforce 1m 30.73s
Deployer             4m 20.55s
Applier              53098.62 ms
Total Iteration      6m 45.13s
Placement-Bruteforce 58755.39 ms
Deployer             5m 28.03s
Applier              1m 10.04s
Total Iteration      7m 37.61s
Placement-Greedy     56.29 ms
Deployer             4m 29.02s
Applier              52912.65 ms
Total Iteration      5m 22.79s
Placement-Greedy     67.44 ms
Deployer             4m 20.61s
Applier              53299.65 ms
Total Iteration      5m 14.81s
Placement-Greedy     72.80 ms
Deployer             5m 08.35s
Applier              1m 01.92s
Total Iteration      6m 11.16s
Placement-Greedy     73.80 ms
Deployer             4m 53.25s
Applier              1m 01.55s
Total Iteration      5m 55.69s
Placement-Greedy     32.49 ms
Deployer             5m 41.84s
Applier              1m 10.36s
Total Iteration      6m 53.02s
Placement-Random     55.02 ms
Deployer             5m 25.02s
Applier              1m 19.44s
Total Iteration      6m 45.35s
Placement-Random     55.31 ms
Deployer             5m 59.72s
Applier              1m 18.35s
Total Iteration      7m 19.01s
Placement-Random     53.39 ms
Deployer             5m 25.54s
Applier              1m 10.06s
Total Iteration      6m 36.49s
Placement-Random     56.31 ms
Deployer             5m 25.33s
Applier              1m 07.26s
Total Iteration      6m 33.51s
Placement-Random     56.35 ms
Deployer             5m 25.24s
Applier              1m 06.75s
Total Iteration      6m 32.89s
