=== Runtime summary ===
Placement-Bruteforce 24860.77 ms
Deployer             6m 16.14s
Applier              1m 24.76s
Total Iteration      8m 06.53s
Placement-Bruteforce 24247.21 ms
Deployer             6m 18.95s
Applier              1m 24.85s
Total Iteration      8m 08.93s
Placement-Bruteforce 24696.60 ms
Deployer             6m 16.66s
Applier              1m 25.34s
Total Iteration      8m 07.58s
Placement-Bruteforce 19927.39 ms
Deployer             6m 00.03s
Applier              1m 25.54s
Total Iteration      7m 46.38s
Placement-Bruteforce 19670.99 ms
Deployer             6m 32.80s
Applier              1m 34.87s
Total Iteration      8m 28.25s
Placement-Greedy     14.10 ms
Deployer             6m 43.58s
Applier              1m 25.27s
Total Iteration      8m 10.01s
Placement-Greedy     12.42 ms
Deployer             6m 50.87s
Applier              1m 34.96s
Total Iteration      8m 27.01s
Placement-Greedy     12.22 ms
Deployer             6m 31.94s
Applier              1m 34.18s
Total Iteration      8m 07.30s
Placement-Greedy     4.99 ms
Deployer             5m 59.76s
Applier              1m 25.42s
Total Iteration      7m 26.30s
Placement-Greedy     8.91 ms
Deployer             5m 60.00s
Applier              1m 25.54s
Total Iteration      7m 26.71s
Placement-Random     59.28 ms
Deployer             6m 10.52s
Applier              1m 26.06s
Total Iteration      7m 37.81s
Placement-Random     59.27 ms
Deployer             7m 20.90s
Applier              1m 33.74s
Total Iteration      8m 55.96s
Placement-Random     59.43 ms
Deployer             7m 02.35s
Applier              1m 34.73s
Total Iteration      8m 38.31s
Placement-Random     59.51 ms
Deployer             6m 33.95s
Applier              1m 34.01s
Total Iteration      8m 09.17s
Placement-Random     60.02 ms
Deployer             6m 00.19s
Applier              1m 25.76s
Total Iteration      7m 27.19s
