=== Runtime summary ===
Placement-Bruteforce 1h 0m 00.00s
Total Iteration      1h 0m 01.51s
Placement-Greedy     11.10 ms
Total Iteration      1589.80 ms
Placement-Random     53.23 ms
Total Iteration      1698.33 ms
