=== Runtime summary ===
Placement-Bruteforce 11456.21 ms
Deployer             4m 59.34s
Applier              52965.21 ms
Total Iteration      6m 04.48s
Placement-Bruteforce 10791.96 ms
Deployer             5m 28.82s
Applier              1m 10.04s
Total Iteration      6m 50.36s
Placement-Bruteforce 10551.86 ms
Deployer             5m 55.08s
Applier              1m 10.07s
Total Iteration      7m 16.42s
Placement-Bruteforce 9232.65 ms
Deployer             3m 47.11s
Applier              40869.68 ms
Total Iteration      4m 37.93s
Placement-Bruteforce 9280.05 ms
Deployer             3m 47.51s
Applier              41114.61 ms
Total Iteration      4m 38.63s
Placement-Greedy     6107.75 ms
Deployer             4m 30.91s
Applier              52922.99 ms
Total Iteration      5m 30.68s
Placement-Greedy     3783.42 ms
Deployer             5m 38.66s
Applier              1m 01.17s
Total Iteration      6m 44.33s
Placement-Greedy     3764.36 ms
Deployer             4m 52.03s
Applier              1m 01.58s
Total Iteration      5m 58.10s
Placement-Greedy     2323.39 ms
Deployer             4m 51.66s
Applier              1m 01.54s
Total Iteration      5m 56.25s
Placement-Greedy     779.26 ms
Deployer             5m 41.47s
Applier              1m 10.12s
Total Iteration      6m 53.10s
Placement-Random     54.92 ms
Deployer             4m 43.74s
Applier              1m 01.81s
Total Iteration      5m 46.41s
Placement-Random     57.29 ms
Deployer             5m 42.08s
Applier              1m 10.01s
Total Iteration      6m 53.00s
Placement-Random     56.69 ms
Deployer             5m 55.95s
Applier              1m 09.86s
Total Iteration      7m 06.67s
Placement-Random     56.69 ms
Deployer             5m 25.96s
Applier              1m 10.14s
Total Iteration      6m 36.99s
Placement-Random     60.85 ms
Deployer             5m 55.57s
Applier              1m 10.35s
Total Iteration      7m 06.80s
