=== Runtime summary ===
Placement-Bruteforce 1m 52.65s
Deployer             4m 48.93s
Applier              1m 02.40s
Total Iteration      7m 44.73s
Placement-Bruteforce 1m 28.94s
Deployer             4m 50.36s
Applier              52841.82 ms
Total Iteration      7m 12.89s
Placement-Bruteforce 1m 28.44s
Deployer             4m 20.68s
Applier              53040.23 ms
Total Iteration      6m 42.92s
Placement-Bruteforce 1m 01.51s
Deployer             5m 09.99s
Applier              1m 01.29s
Total Iteration      7m 13.56s
Placement-Bruteforce 47895.29 ms
Deployer             5m 41.17s
Applier              1m 09.80s
Total Iteration      7m 39.62s
Placement-Greedy     64.63 ms
Deployer             4m 47.39s
Applier              1m 02.11s
Total Iteration      5m 50.36s
Placement-Greedy     76.59 ms
Deployer             4m 52.74s
Applier              1m 01.70s
Total Iteration      5m 55.31s
Placement-Greedy     81.05 ms
Deployer             4m 20.42s
Applier              53004.92 ms
Total Iteration      5m 14.32s
Placement-Greedy     78.70 ms
Deployer             4m 20.38s
Applier              53173.43 ms
Total Iteration      5m 14.45s
Placement-Greedy     1h 15m 02.18s
Deployer             5m 08.45s
Applier              1m 01.37s
Total Iteration      1h 21m 12.77s
Placement-Random     53.66 ms
Deployer             5m 33.85s
Applier              1m 11.09s
Total Iteration      6m 45.83s
Placement-Random     53.61 ms
Deployer             5m 59.27s
Applier              1m 18.56s
Total Iteration      7m 18.71s
Placement-Random     53.74 ms
Deployer             5m 55.72s
Applier              1m 19.01s
Total Iteration      7m 15.66s
Placement-Random     53.42 ms
Deployer             7m 01.99s
Applier              1m 27.46s
Total Iteration      8m 30.35s
Placement-Random     53.72 ms
Deployer             6m 29.54s
Applier              1m 27.53s
Total Iteration      7m 57.99s
