=== Runtime summary ===
Placement-Bruteforce 2m 28.40s
Deployer             5m 17.80s
Applier              1m 02.39s
Total Iteration      8m 49.37s
Placement-Bruteforce 1m 49.25s
Deployer             4m 52.35s
Applier              1m 01.54s
Total Iteration      7m 43.91s
Placement-Bruteforce 1m 49.66s
Deployer             4m 51.86s
Applier              1m 01.55s
Total Iteration      7m 43.83s
Placement-Bruteforce 1m 35.40s
Deployer             4m 52.88s
Applier              1m 01.38s
Total Iteration      7m 30.43s
Placement-Bruteforce 1m 32.54s
Deployer             5m 39.91s
Applier              1m 10.03s
Total Iteration      8m 23.25s
Placement-Greedy     92.37 ms
Deployer             5m 10.66s
Applier              1m 01.09s
Total Iteration      6m 12.62s
Placement-Greedy     94.84 ms
Deployer             5m 22.79s
Applier              1m 01.43s
Total Iteration      6m 25.12s
Placement-Greedy     95.29 ms
Deployer             5m 02.18s
Applier              1m 01.50s
Total Iteration      6m 04.59s
Placement-Greedy     97.94 ms
Deployer             5m 39.94s
Applier              1m 10.38s
Total Iteration      6m 51.23s
Placement-Greedy     97.88 ms
Deployer             5m 24.66s
Applier              1m 10.05s
Total Iteration      6m 35.60s
Placement-Random     53.46 ms
Deployer             5m 15.95s
Applier              1m 01.70s
Total Iteration      6m 18.55s
Placement-Random     54.17 ms
Deployer             5m 58.95s
Applier              1m 18.85s
Total Iteration      7m 18.69s
Placement-Random     54.59 ms
Deployer             5m 25.44s
Applier              1m 09.99s
Total Iteration      6m 36.39s
Placement-Random     55.22 ms
Deployer             5m 58.32s
Applier              1m 19.43s
Total Iteration      7m 18.67s
Placement-Random     54.59 ms
Deployer             5m 40.34s
Applier              1m 09.64s
Total Iteration      6m 50.96s
