=== Runtime summary ===
Placement-Bruteforce 4m 27.26s
Deployer             4m 39.59s
Applier              57572.39 ms
Total Iteration      10m 05.19s
Placement-Bruteforce 5m 04.74s
Deployer             5m 14.66s
Applier              1m 06.30s
Total Iteration      11m 26.59s
Placement-Bruteforce 5m 08.38s
Deployer             4m 54.77s
Applier              1m 06.43s
Total Iteration      11m 10.46s
Placement-Bruteforce 4m 33.43s
Deployer             4m 55.66s
Applier              1m 06.65s
Total Iteration      10m 36.60s
Placement-Bruteforce 4m 24.19s
Deployer             5m 13.43s
Applier              1m 06.32s
Total Iteration      10m 44.85s
Placement-Greedy     9.88 ms
Deployer             4m 37.59s
Applier              57638.28 ms
Total Iteration      5m 36.41s
Placement-Greedy     5.25 ms
Deployer             4m 22.75s
Applier              57390.07 ms
Total Iteration      5m 21.31s
Placement-Greedy     5.12 ms
Deployer             4m 22.78s
Applier              57674.02 ms
Total Iteration      5m 21.63s
Placement-Greedy     5.41 ms
Deployer             4m 23.58s
Applier              57545.25 ms
Total Iteration      5m 22.30s
Placement-Greedy     5.51 ms
Deployer             5m 34.31s
Applier              1m 16.05s
Total Iteration      6m 51.52s
Placement-Random     55.10 ms
Deployer             6m 18.77s
Applier              1m 15.66s
Total Iteration      7m 35.64s
Placement-Random     54.60 ms
Deployer             5m 58.02s
Applier              1m 15.93s
Total Iteration      7m 15.27s
Placement-Random     54.34 ms
Deployer             5m 27.56s
Applier              1m 16.02s
Total Iteration      6m 44.81s
Placement-Random     54.46 ms
Deployer             5m 44.61s
Applier              1m 15.26s
Total Iteration      7m 01.10s
Placement-Random     54.32 ms
Deployer             5m 57.34s
Applier              1m 16.07s
Total Iteration      7m 14.64s
